forecast_time,target_time,rain_gage_id,forecast_horizon_min,forecast_rainfall_mm,source
2017-06-29,2017-06-29 04:49:00,rg5425,289,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:50:00,rg5425,290,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:51:00,rg5425,291,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:52:00,rg5425,292,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:53:00,rg5425,293,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:54:00,rg5425,294,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:55:00,rg5425,295,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:56:00,rg5425,296,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:57:00,rg5425,297,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:58:00,rg5425,298,0.0,historical_window_minutely
2017-06-29,2017-06-29 04:59:00,rg5425,299,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:00:00,rg5425,300,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:01:00,rg5425,301,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:02:00,rg5425,302,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:03:00,rg5425,303,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:04:00,rg5425,304,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:05:00,rg5425,305,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:06:00,rg5425,306,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:07:00,rg5425,307,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:08:00,rg5425,308,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:09:00,rg5425,309,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:10:00,rg5425,310,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:11:00,rg5425,311,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:12:00,rg5425,312,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:13:00,rg5425,313,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:14:00,rg5425,314,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:15:00,rg5425,315,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:16:00,rg5425,316,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:17:00,rg5425,317,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:18:00,rg5425,318,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:19:00,rg5425,319,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:20:00,rg5425,320,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:21:00,rg5425,321,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:22:00,rg5425,322,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:23:00,rg5425,323,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:24:00,rg5425,324,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:25:00,rg5425,325,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:26:00,rg5425,326,0.0,historical_window_minutely
2017-06-29,2017-06-29 05:27:00,rg5425,327,0.0,historical_window_minutely
